,PC 1,PC 2,Class
717,37.319607,-52.372044,All candidates
718,25.579256,-31.15519,All candidates
719,4.12619,2.1180751,All candidates
720,32.13748,-49.933613,All candidates
721,26.971098,-21.468048,All candidates
722,23.733568,53.765965,All candidates
723,-29.231907,63.474762,All candidates
724,29.869513,-54.961815,All candidates
725,-14.444249,30.297739,All candidates
726,38.117115,41.92908,All candidates
727,7.703002,-15.595039,All candidates
728,39.612293,-41.87881,All candidates
729,46.886578,-13.744259,All candidates
730,-58.49437,-21.292078,All candidates
731,20.488056,-42.719246,All candidates
732,28.516949,-3.4503627,All candidates
733,1.9203354,11.83709,All candidates
734,1.9202497,11.83675,All candidates
735,10.481884,11.799308,All candidates
736,-8.742685,49.29807,All candidates
737,-8.743002,49.298447,All candidates
738,-3.4796574,-55.46769,All candidates
739,37.722206,-53.78375,All candidates
740,4.133731,45.24595,All candidates
741,6.9102173,76.57211,All candidates
742,-4.826493,34.710213,All candidates
743,-4.826415,34.71025,All candidates
744,33.587097,-23.395592,All candidates
745,35.60722,-51.66103,All candidates
746,21.958836,-29.456451,All candidates
747,-5.9689245,-43.329117,All candidates
748,54.92359,-21.11854,All candidates
749,41.57786,-52.3834,All candidates
750,5.2249427,72.755066,All candidates
751,23.914177,54.049793,All candidates
752,-5.8442283,-43.26418,All candidates
753,-38.799862,-16.687853,All candidates
754,5.0628014,72.81425,All candidates
755,-15.973058,74.243225,All candidates
756,-65.66641,-26.148088,All candidates
757,29.192259,-54.950603,All candidates
758,-25.41084,37.55993,All candidates
759,7.4535723,-66.02696,All candidates
760,15.959964,-17.045282,All candidates
761,-14.084632,72.18784,All candidates
762,8.827512,-57.636013,All candidates
